Barangay II (Nueva), Dagupan, 2,562
Barangay IV (Zamora), Dagupan, 1,201
Bolosan, Dagupan, 3,872
Bonuan Binloc, Dagupan, 9,506
Bonuan Boquig, Dagupan, 14,354
Bonuan Gueset, Dagupan, 23,373
Calmay, Dagupan, 6,972
Carael, Dagupan, 4,872
Caranglaan, Dagupan, 7,485
Herrero, Dagupan, 2,474
Lasip Chico, Dagupan, 1,983
Lasip Grande, Dagupan, 2,818
Lomboy, Dagupan, 1,337
Lucao, Dagupan, 10,252
Malued, Dagupan, 9,581
Mamalingling, Dagupan, 1,653
Mangin, Dagupan, 4,019
Mayombo, Dagupan, 6,943
Pantal, Dagupan, 17,841
Poblacion Oeste, Dagupan, 4,651
Pogo Chico, Dagupan, 4,747
Pogo Grande, Dagupan, 2,211
Pugaro Suit, Dagupan, 5,233
Salapingao, Dagupan, 2,996
Salisay, Dagupan, 2,140
Tambac, Dagupan, 2,272
Tapuac, Dagupan, 4,154
Tebeng, Dagupan, 2,943
Alilao, Dasol, 532
Amalbalan, Dasol, 1,821
Bobonot, Dasol, 1,361
Eguia, Dasol, 3,194
Gais‑Guipe, Dasol, 2,502
Hermosa, Dasol, 1,652
Macalang, Dasol, 2,025
Magsaysay, Dasol, 682
Malacapas, Dasol, 1,046
Malimpin, Dasol, 1,392
Osmeña, Dasol, 1,541
Petal, Dasol, 1,507
Poblacion, Dasol, 3,416
San Vicente, Dasol, 1,128
Tambac, Dasol, 838
Tambobong, Dasol, 1,658
Uli, Dasol, 2,033
Viga, Dasol, 782
Babuyan, Infanta, 559
Bamban, Infanta, 2,864
Batang, Infanta, 1,365
Bayambang, Infanta, 2,466
Cato, Infanta, 4,629
Doliman, Infanta, 1,429
Fatima, Infanta, 2,190
Maya, Infanta, 1,155
Nangalisan, Infanta, 1,253
Nayom, Infanta, 1,688
Pita, Infanta, 989
Poblacion, Infanta, 3,256
Potol, Infanta, 741
Bolo, Labrador, 3,854
Bongalon, Labrador, 2,286
Dulig, Labrador, 2,345
Laois, Labrador, 2,500
Magsaysay, Labrador, 1,484
Poblacion, Labrador, 2,505
San Gonzalo, Labrador, 1,107
San Jose, Labrador, 1,232
Tobuan, Labrador, 2,951
Uyong, Labrador, 2,937
Anis, Laoac, 1,667
Balligi, Laoac, 1,163
Banuar, Laoac, 2,180
Botique, Laoac, 839
Caaringayan, Laoac, 1,275
Cabilaoan West, Laoac, 1,823
Cabulalaan, Laoac, 1,181
Calaoagan, Laoac, 1,163
Calmay, Laoac, 1,790
Casampagaan, Laoac, 938
Casanestebanan, Laoac, 729
Casantiagoan, Laoac, 1,575
Domingo Alarcio (Cabilaoan East), Laoac, 1,361
Inmanduyan, Laoac, 1,604
Lebueg, Laoac, 2,189
Maraboc, Laoac, 1,260
Nanbagatan, Laoac, 1,372
Panaga, Laoac, 1,455
Poblacion (Laoac), Laoac, 2,025
Talogtog, Laoac, 1,080
Turko, Laoac, 1,117
Yatyat, Laoac, 1,711
Aliwekwek, Lingayen, 1,437
Baay, Lingayen, 5,633
Balangobong, Lingayen, 1,412
Balococ, Lingayen, 2,283
Bantayan, Lingayen, 1,181
Basing, Lingayen, 2,770
Capandanan, Lingayen, 2,399
Domalandan Center, Lingayen, 2,178
Domalandan East, Lingayen, 2,394
Domalandan West, Lingayen, 2,940
Dorongan, Lingayen, 329
Dulag, Lingayen, 1,654
Estanza, Lingayen, 4,088
Lasip, Lingayen, 1,970
Libsong East, Lingayen, 6,176
Libsong West, Lingayen, 4,994
Malawa, Lingayen, 2,255
Malimpuec, Lingayen, 3,669
Maniboc, Lingayen, 7,670
Matalava, Lingayen, 2,827
Naguelguel, Lingayen, 3,051
Namolan, Lingayen, 2,507
Pangapisan North, Lingayen, 7,336
Pangapisan Sur, Lingayen, 1,887
Poblacion, Lingayen, 12,238
Quibaol, Lingayen, 2,766
Rosario, Lingayen, 2,106
Sabangan, Lingayen, 1,484
Talogtog, Lingayen, 641
Tonton, Lingayen, 5,316
Tumbar, Lingayen, 1,847
Wawa, Lingayen, 1,840
Bacnit, Mabini, 1,345
Barlo, Mabini, 1,605
Caabiangaan, Mabini, 892
Cabanaetan, Mabini, 1,638
Cabinuangan, Mabini, 1,388
Calzada, Mabini, 1,834
Caranglaan, Mabini, 1,463
De Guzman, Mabini, 1,760
Luna, Mabini, 1,370
Magalong, Mabini, 850
Nibaliw, Mabini, 1,094
Patar, Mabini, 915
Poblacion, Mabini, 2,940
San Pedro, Mabini, 1,136
Tagudin, Mabini, 3,277
Villacorta, Mabini, 1,258
Abonagan, Malasiqui, 1,404
Agdao, Malasiqui, 793
Alacan, Malasiqui, 1,965
Aliaga, Malasiqui, 2,422
Amacalan, Malasiqui, 1,233
Anolid, Malasiqui, 1,163
Apaya, Malasiqui, 1,937
Asin Este, Malasiqui, 2,752
Asin Weste, Malasiqui, 965
Bacundao Este, Malasiqui, 1,298
Bacundao Weste, Malasiqui, 1,346
Bakitiw, Malasiqui, 2,110
Balite, Malasiqui, 882
Banawang, Malasiqui, 2,661
Barang, Malasiqui, 2,202
Bawer, Malasiqui, 725
Binalay, Malasiqui, 1,380
Bobon, Malasiqui, 1,044
Bolaoit, Malasiqui, 2,686
Bongar, Malasiqui, 1,829
Butao, Malasiqui, 1,239
Cabatling, Malasiqui, 2,715
Cabueldatan, Malasiqui, 653
Calbueg, Malasiqui, 1,859
Canan Norte, Malasiqui, 1,890
Canan Sur, Malasiqui, 1,182
Cawayan Bogtong, Malasiqui, 2,911
Don Pedro, Malasiqui, 3,077
Gatang, Malasiqui, 1,573
Goliman, Malasiqui, 1,378
Gomez, Malasiqui, 1,191
Guilig, Malasiqui, 1,470
Ican, Malasiqui, 1,462
Ingalagala, Malasiqui, 923
Lareg‑lareg, Malasiqui, 2,483
Lasip, Malasiqui, 1,484
Lepa, Malasiqui, 2,151
Loqueb Este, Malasiqui, 2,638
Loqueb Norte, Malasiqui, 2,128
Loqueb Sur, Malasiqui, 1,549
Lunec, Malasiqui, 2,488
Mabulitec, Malasiqui, 923
Malimpec, Malasiqui, 2,266
Manggan‑Dampay, Malasiqui, 1,422
Nalsian Norte, Malasiqui, 3,046
Nalsian Sur, Malasiqui, 1,199
Nancapian, Malasiqui, 1,293
Nansangaan, Malasiqui, 632
Olea, Malasiqui, 2,423
Pacuan, Malasiqui, 743
Palapar Norte, Malasiqui, 1,225
Palapar Sur, Malasiqui, 834
Palong, Malasiqui, 2,298
Pamaranum, Malasiqui, 695
Pasima, Malasiqui, 2,547
Payar, Malasiqui, 1,371
Poblacion, Malasiqui, 8,027
Polong Norte, Malasiqui, 1,434
Polong Sur, Malasiqui, 1,636
Potiocan, Malasiqui, 1,634
San Julian, Malasiqui, 1,390
Tabo‑Sili, Malasiqui, 1,161
